instance_id,repo,docker_image
libdwarf.cve-2022-32200,davea42/libdwarf-code,hwiwonlee/secb.eval.x86_64.libdwarf.cve-2022-32200:patch
exiv2.cve-2018-19607,exiv2/exiv2,hwiwonlee/secb.eval.x86_64.exiv2.cve-2018-19607:patch
gpac.cve-2023-5586,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2023-5586:patch
gpac.cve-2023-46929,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2023-46929:patch
gpac.cve-2024-0321,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2024-0321:patch
gpac.cve-2023-0760,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2023-0760:patch
gpac.cve-2023-48013,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2023-48013:patch
gpac.cve-2023-48011,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2023-48011:patch
gpac.cve-2023-4721,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2023-4721:patch
gpac.cve-2022-3178,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2022-3178:patch
gpac.cve-2023-3012,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2023-3012:patch
gpac.cve-2022-2453,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2022-2453:patch
gpac.cve-2021-40566,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2021-40566:patch
gpac.cve-2023-46930,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2023-46930:patch
gpac.cve-2023-3291,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2023-3291:patch
gpac.cve-2024-0322,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2024-0322:patch
gpac.cve-2023-0770,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2023-0770:patch
gpac.cve-2023-0866,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2023-0866:patch
gpac.cve-2023-0358,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2023-0358:patch
gpac.cve-2023-4679,gpac/gpac,hwiwonlee/secb.eval.x86_64.gpac.cve-2023-4679:patch
